school_name,roster_size
ICSA Selectors,0
American University,10
Catholic University of America,21
Christopher Newport University,15
Colgate University,
Columbia University,19
Cornell University,32
Drexel University,9
Fordham University,25
George Washington University,30
Georgetown University,44
Hamilton College,10
Hampton University,9
Hobart and William Smith Colleges,31
Indiana University of Pennsylvania,6
Loyola University Maryland,9
Mercyhurst University,3
Monmouth University,5
Ocean County College,0
Old Dominion University,19
Penn State Behrend,4
Penn State University,9
Princeton University,27
Queen's University,0
Rochester Institute of Technology,13
Rutgers University,1
St. John's College,8
St. Mary's College of Maryland,23
Stevens Institute of Technology,8
SUNY Maritime College,28
SUNY Stony Brook,23
Syracuse University,10
U. S. Merchant Marine Academy,49
U. S. Military Academy,12
U. S. Naval Academy,41
University of Buffalo,2
University of Delaware,18
University of Maryland,30
University of Maryland/Baltimore County,13
University of Pennsylvania,24
University of Pittsburgh,18
University of Rochester,9
University of Toronto,
University of Virginia,26
Virginia Tech,8
Washington College,15
Webb Institute,15
William and Mary,16
Case Western Reserve University,0
Cleveland State University,4
Denison University,3
Grand Valley State University,12
Hillsdale College,3
Hope College,19
Indiana University,11
Iowa State University,0
John Carroll University,0
Lake Forest College,4
Marquette University,28
Miami University,36
Michigan State University,20
Michigan Technological University,7
Northern Michigan University,17
Northwestern University,31
Ohio State University,40
Ohio University,13
Purdue University,28
Saginaw Valley State University,4
Saint Mary's College,5
University of Chicago,0
University of Cincinnati,10
University of Illinois,10
University of Iowa,4
University of Michigan,37
University of Minnesota,8
University of Nebraska Lincoln,0
University of Notre Dame,26
University of Saint Thomas,5
University of Toledo,5
University of Wisconsin,45
Washington University,9
Western Michigan University,20
Amherst College,0
Bates College,32
Bentley University,11
Boston College,26
Boston University,13
Bowdoin College,35
Brown University,48
Connecticut College,34
Dartmouth College,35
Fairfield University,17
Harvard University,37
Maine Maritime Academy,33
Massachusetts Institute of Technology,41
Massachusetts Maritime Academy,43
McGill University,0
Middlebury College,31
Northeastern University,36
Olin College of Engineering,13
Roger Williams University,33
Sacred Heart University,0
Salve Regina University,21
Tufts University,63
U. S. Coast Guard Academy,46
University of Connecticut,13
University of Maine,10
University of Massachusetts at Amherst,25
University of Massachusetts at Dartmouth,9
University of New Hampshire,38
University of Rhode Island,48
University of Vermont,40
Wentworth Institute of Technology,10
Wesleyan University,12
Williams College,12
Worcester Polytechnic Institute,13
Yale University,33
Oregon State University,6
Portland State University,15
University of British Columbia,0
University of Oregon,7
University of Victoria,2
University of Washington,41
Western Washington University,30
Arizona State University,28
Cal Poly University S.L.O.,55
California Maritime Academy,25
California State University Channel Islands,12
San Diego State University,19
Santa Clara University,0
Stanford University,20
University of California at Berkeley,32
University of California at Davis,26
University of California at Irvine,19
University of California at Los Angeles,36
University of California at San Diego,37
University of California at Santa Barbara,32
University of California at Santa Cruz,30
University of Hawaii,32
University of Southern California,8
Auburn University,5
Clemson University,20
College of Charleston,52
College of Coastal Georgia,2
Davidson College,1
Duke University,14
East Carolina University,0
Eckerd College,23
Embry-Riddle University,19
Florida Gulf Coast University,13
Florida Institute of Technology,6
Florida State University,14
Furman University,0
Georgia Institute of Technology,18
Georgia Southern University,5
Jacksonville University,40
New College of Florida,0
North Carolina State University,28
Palm Beach Atlantic University,14
Rollins College,18
Sewanee University of the South,0
The Citadel,13
University of Central Florida,0
University of Florida,37
University of Georgia,17
University of Miami,32
University of North Carolina,9
University of North Carolina at Wilmington,24
University of South Carolina,10
University of South Florida,29
University of Tennessee,11
Vanderbilt University,8
Wake Forest University,10
Baylor University,16
Loyola University New Orleans,15
Rice University,0
Texas A&M University,20
Texas A&M University at Corpus Christi,8
Texas A&M University at Galveston,18
Texas Christian University,5
Tulane University,27
University of Central Oklahoma,6
University of Kansas,16
University of North Texas,10
University of Oklahoma,
University of South Alabama,5
University of Texas,15
