school_name,roster_size
ICSA Selectors,0
American University,18
Catholic University of America,16
Christopher Newport University,34
Colgate University,
Columbia University,78
Cornell University,27
Drexel University,31
Fordham University,36
George Washington University,25
Georgetown University,67
Hamilton College,25
Hampton University,15
Hobart and William Smith Colleges,42
Indiana University of Pennsylvania,12
Loyola University Maryland,15
Mercyhurst University,12
Monmouth University,11
Ocean County College,12
Old Dominion University,18
Penn State Behrend,6
Penn State University,33
Princeton University,56
Queen's University,49
Rochester Institute of Technology,22
Rutgers University,38
St. John's College,6
St. Mary's College of Maryland,30
Stevens Institute of Technology,26
SUNY Maritime College,67
SUNY Stony Brook,29
Syracuse University,49
U. S. Merchant Marine Academy,55
U. S. Military Academy,31
U. S. Naval Academy,179
University of Buffalo,9
University of Delaware,42
University of Maryland,34
University of Maryland/Baltimore County,20
University of Pennsylvania,30
University of Pittsburgh,25
University of Rochester,20
University of Toronto,
University of Virginia,46
Virginia Tech,40
Washington College,20
Webb Institute,42
William and Mary,56
Case Western Reserve University,0
Cleveland State University,3
Denison University,
Grand Valley State University,7
Hillsdale College,22
Hope College,25
Indiana University,13
Iowa State University,10
John Carroll University,20
Lake Forest College,10
Marquette University,50
Miami University,50
Michigan State University,34
Michigan Technological University,15
Northern Michigan University,13
Northwestern University,83
Ohio State University,68
Ohio University,35
Purdue University,44
Saginaw Valley State University,0
Saint Mary's College,8
University of Chicago,19
University of Cincinnati,0
University of Illinois,31
University of Iowa,16
University of Michigan,82
University of Minnesota,29
University of Nebraska Lincoln,16
University of Notre Dame,42
University of Saint Thomas,0
University of Toledo,19
University of Wisconsin,68
Washington University,1
Western Michigan University,34
Amherst College,29
Bates College,39
Bentley University,20
Boston College,27
Boston University,38
Bowdoin College,37
Brown University,46
Connecticut College,47
Dartmouth College,32
Fairfield University,30
Harvard University,45
Maine Maritime Academy,47
Massachusetts Institute of Technology,55
Massachusetts Maritime Academy,42
McGill University,36
Middlebury College,41
Northeastern University,47
Olin College of Engineering,8
Roger Williams University,41
Sacred Heart University,15
Salve Regina University,36
Tufts University,71
U. S. Coast Guard Academy,69
University of Connecticut,34
University of Maine,9
University of Massachusetts at Amherst,83
University of Massachusetts at Dartmouth,10
University of New Hampshire,49
University of Rhode Island,66
University of Vermont,49
Wentworth Institute of Technology,11
Wesleyan University,16
Williams College,16
Worcester Polytechnic Institute,8
Yale University,40
Oregon State University,11
Portland State University,1
University of British Columbia,47
University of Oregon,11
University of Victoria,36
University of Washington,31
Western Washington University,52
Arizona State University,39
Cal Poly University S.L.O.,99
California Maritime Academy,31
California State University Channel Islands,17
San Diego State University,21
Santa Clara University,20
Stanford University,26
University of California at Berkeley,54
University of California at Davis,33
University of California at Irvine,33
University of California at Los Angeles,63
University of California at San Diego,60
University of California at Santa Barbara,43
University of California at Santa Cruz,26
University of Hawaii,37
University of Southern California,21
Auburn University,36
Clemson University,37
College of Charleston,71
College of Coastal Georgia,0
Davidson College,19
Duke University,22
East Carolina University,4
Eckerd College,33
Embry-Riddle University,16
Florida Gulf Coast University,0
Florida Institute of Technology,10
Florida State University,22
Furman University,0
Georgia Institute of Technology,41
Georgia Southern University,11
Jacksonville University,44
New College of Florida,9
North Carolina State University,56
Palm Beach Atlantic University,14
Rollins College,39
Sewanee University of the South,0
The Citadel,0
University of Central Florida,14
University of Florida,34
University of Georgia,31
University of Miami,33
University of North Carolina,16
University of North Carolina at Wilmington,23
University of South Carolina,21
University of South Florida,51
University of Tennessee,12
Vanderbilt University,18
Wake Forest University,20
Baylor University,14
Loyola University New Orleans,27
Rice University,9
Texas A&M University,46
Texas A&M University at Corpus Christi,16
Texas A&M University at Galveston,45
Texas Christian University,1
Tulane University,46
University of Central Oklahoma,8
University of Kansas,0
University of North Texas,22
University of Oklahoma,
University of South Alabama,0
University of Texas,46
